Wave (nm),7-Aug,4-Sep-05
793,0.18947,0.11755
794,0.18924,0.11739
795,0.18919,0.11731
796,0.18913,0.1172
797,0.19036,0.11808
798,0.18986,0.1178
799,0.18836,0.11685
800,0.18697,0.11592
801,0.18637,0.11546
802,0.1859,0.11511
803,0.18555,0.11489
804,0.18639,0.1155
805,0.18726,0.11613
806,0.18817,0.11678
807,0.1864,0.11558
808,0.18434,0.11425
809,0.1819,0.11275
810,0.17953,0.11154
811,0.17496,0.10913
812,0.16837,0.10553
813,0.1588,0.10007
814,0.15046,0.09504
815,0.14404,0.09097
816,0.14029,0.08832
817,0.14129,0.08841
818,0.14441,0.08983
819,0.14938,0.09249
820,0.15527,0.09629
821,0.15077,0.09402
822,0.14303,0.08977
823,0.1449,0.09079
824,0.15411,0.09609
825,0.16119,0.10017
826,0.16019,0.09959
827,0.15596,0.09718
828,0.15394,0.09613
829,0.15481,0.09682
830,0.15662,0.09807
831,0.15746,0.09869
832,0.15817,0.09915
833,0.16036,0.10038
834,0.16393,0.10256
835,0.16724,0.10458
836,0.16934,0.10578
837,0.17067,0.10639
838,0.17193,0.10696
839,0.17306,0.10745
840,0.17363,0.10773
841,0.17379,0.10773
842,0.17373,0.10759
843,0.1733,0.10726
844,0.17378,0.1075
845,0.17443,0.10787
846,0.17476,0.10809
847,0.17383,0.10745
848,0.17133,0.10583
849,0.16729,0.10327
850,0.1665,0.10261
851,0.16653,0.10254
852,0.16582,0.10212
853,0.15845,0.09768
854,0.1564,0.09628
855,0.15881,0.09759
856,0.1669,0.10252
857,0.16975,0.10435
858,0.1707,0.10499
859,0.17011,0.10461
860,0.16983,0.10439
861,0.16983,0.1043
862,0.17001,0.10432
863,0.16966,0.10407
864,0.16612,0.10197
865,0.16105,0.09893
866,0.15592,0.09572
867,0.15796,0.09682
868,0.16155,0.09892
869,0.16509,0.1011
870,0.16585,0.10154
871,0.16604,0.10161
872,0.16567,0.10134
873,0.16485,0.10076
874,0.16418,0.10029
875,0.16372,0.09996
876,0.16372,0.09995
877,0.16385,0.09992
878,0.16361,0.09965
879,0.16273,0.09901
880,0.16157,0.09827
881,0.16117,0.09797
882,0.16141,0.09802
883,0.16195,0.09835
884,0.16173,0.09814
885,0.16088,0.09751
886,0.15954,0.09659
887,0.15904,0.09625
888,0.15909,0.09628
889,0.15955,0.09655
890,0.15895,0.09619
891,0.1573,0.09527
892,0.15465,0.09385
893,0.15014,0.09149
894,0.1442,0.08836
895,0.13725,0.08463
896,0.12945,0.0802
897,0.12242,0.07603
898,0.11641,0.07241
899,0.1119,0.06968
900,0.11011,0.0683
901,0.11091,0.06838
902,0.11448,0.07007
903,0.1213,0.07368
904,0.12657,0.07659
905,0.12949,0.07832
906,0.12605,0.07666
907,0.11997,0.07336
908,0.11391,0.07001
909,0.10988,0.06772
910,0.1096,0.06756
911,0.1099,0.06775
912,0.11024,0.068
913,0.10927,0.06758
914,0.10794,0.06689
915,0.1066,0.06613
916,0.10664,0.06613
917,0.10807,0.06701
918,0.11066,0.06854
919,0.11475,0.07077
920,0.11856,0.07275
921,0.12132,0.07417
922,0.12263,0.07483
923,0.12115,0.07402
924,0.11975,0.07326
925,0.11832,0.0725
926,0.11624,0.07148
927,0.11203,0.06949
928,0.10575,0.06652
929,0.09644,0.0621
930,0.08448,0.0559
931,0.072,0.04908
932,0.05962,0.04193
933,0.05007,0.03603
934,0.04264,0.03137
935,0.03751,0.02804
936,0.03614,0.02688
937,0.038,0.02762
938,0.04192,0.02956
939,0.04726,0.03232
940,0.05192,0.03482
941,0.05543,0.03677
942,0.05728,0.0379
943,0.05532,0.03706
944,0.05278,0.03572
945,0.05011,0.03417
946,0.04912,0.03378
947,0.04925,0.034
948,0.05014,0.03461
949,0.05166,0.03555
950,0.05293,0.03638
951,0.05397,0.03708
952,0.05467,0.03757
953,0.05533,0.03808
954,0.05596,0.03861
955,0.05665,0.03922
956,0.05799,0.03992
957,0.05935,0.04064
958,0.06077,0.04143
959,0.06221,0.04237
960,0.06416,0.04356
961,0.06629,0.04482
962,0.06847,0.04606
963,0.07085,0.04717
964,0.0735,0.04853
965,0.07649,0.0502
966,0.08018,0.05223
967,0.08439,0.05433
968,0.08904,0.05654
969,0.0939,0.05893
970,0.09829,0.06111
971,0.102,0.06303
972,0.10435,0.06441
973,0.10462,0.06455
974,0.104,0.06411
975,0.10269,0.06321
976,0.10614,0.11127
977,0.10741,0.1124
978,0.10869,0.11349
979,0.11015,0.11467
980,0.11157,0.11582
981,0.11306,0.11705
982,0.11452,0.11828
983,0.11586,0.11926
984,0.11716,0.12015
985,0.11832,0.12127
986,0.11942,0.12246
987,0.12031,0.12322
988,0.12121,0.12387
989,0.12186,0.12424
990,0.12245,0.12462
991,0.12289,0.12496
992,0.12314,0.12518
993,0.12336,0.12523
994,0.12344,0.1249
995,0.12343,0.12449
996,0.12328,0.12401
997,0.12318,0.12358
998,0.12284,0.12327
999,0.12255,0.12301
1000,0.12229,0.12252
1001,0.12213,0.12213
1002,0.12181,0.12172
1003,0.12153,0.12137
1004,0.1213,0.12102
1005,0.12117,0.12074
1006,0.12107,0.12035
1007,0.12101,0.11986
1008,0.12086,0.11948
1009,0.12072,0.11936
1010,0.12061,0.11919
1011,0.12053,0.11886
1012,0.12048,0.11861
1013,0.12032,0.11846
1014,0.12027,0.1184
1015,0.12016,0.1182
1016,0.12011,0.11805
1017,0.11992,0.1178
1018,0.11979,0.1176
1019,0.11952,0.1172
1020,0.1193,0.11683
1021,0.11906,0.11652
1022,0.11888,0.11629
1023,0.11865,0.11604
1024,0.11847,0.11588
1025,0.11826,0.11561
1026,0.11799,0.1152
1027,0.11778,0.11493
1028,0.11752,0.1147
1029,0.11729,0.11448
1030,0.11707,0.11411
1031,0.11689,0.11376
1032,0.11659,0.11338
1033,0.11634,0.11306
1034,0.11604,0.11268
1035,0.11585,0.11236
1036,0.11555,0.11195
1037,0.11531,0.11164
1038,0.11508,0.11142
1039,0.11483,0.11118
1040,0.11458,0.11101
1041,0.1143,0.11073
1042,0.11407,0.11042
1043,0.11375,0.11006
1044,0.11349,0.10972
1045,0.11315,0.10921
1046,0.11286,0.1088
1047,0.11257,0.10831
1048,0.11225,0.10785
1049,0.11183,0.10749
1050,0.11145,0.10714
1051,0.11107,0.10664
1052,0.11073,0.10619
1053,0.1103,0.10566
1054,0.10986,0.10509
1055,0.10946,0.10462
1056,0.109,0.10415
1057,0.10851,0.10364
1058,0.10802,0.10312
1059,0.10761,0.10269
1060,0.10714,0.10221
1061,0.10679,0.10185
1062,0.10639,0.10147
1063,0.10597,0.10118
1064,0.10547,0.10083
1065,0.10511,0.10058
1066,0.1048,0.10045
1067,0.10441,0.10028
1068,0.10415,0.10028
1069,0.10387,0.10027
1070,0.10362,0.10026
1071,0.10336,0.10024
1072,0.10309,0.10024
1073,0.10273,0.10019
1074,0.1024,0.10021
1075,0.10203,0.10015
1076,0.10164,0.10005
1077,0.10123,0.0999
1078,0.1008,0.09961
1079,0.10034,0.0993
1080,0.09978,0.09892
1081,0.09918,0.09853
1082,0.09857,0.0981
1083,0.09797,0.09762
1084,0.09724,0.09705
1085,0.09656,0.09648
1086,0.09579,0.09577
1087,0.09502,0.09509
1088,0.09411,0.09427
1089,0.09322,0.09345
1090,0.09219,0.09257
1091,0.09112,0.09177
1092,0.0899,0.09077
1093,0.08867,0.08964
1094,0.0874,0.08849
1095,0.08605,0.08737
1096,0.08472,0.08631
1097,0.08328,0.08503
1098,0.08187,0.08382
1099,0.08036,0.08262
1100,0.07886,0.08143
1101,0.07725,0.08007
1102,0.07556,0.07867
1103,0.07366,0.0771
1104,0.07156,0.07533
1105,0.06916,0.07328
1106,0.06661,0.07112
1107,0.06372,0.06868
1108,0.06059,0.0659
1109,0.05724,0.06286
1110,0.05364,0.05959
1111,0.04993,0.05619
1112,0.04612,0.05266
1113,0.04235,0.04908
1114,0.03865,0.04545
1115,0.03522,0.04204
1116,0.03195,0.03872
1117,0.02903,0.03575
1118,0.02634,0.03298
1119,0.02412,0.0307
1120,0.02231,0.02878
1121,0.02096,0.02726
1122,0.01999,0.02613
1123,0.01927,0.02529
1124,0.01887,0.02483
1125,0.01864,0.02452
1126,0.01875,0.02452
1127,0.01906,0.02472
1128,0.01971,0.02527
1129,0.02044,0.02589
1130,0.0213,0.02664
1131,0.02215,0.02739
1132,0.02301,0.0282
1133,0.02386,0.02898
1134,0.0247,0.02981
1135,0.02553,0.03065
1136,0.02621,0.03137
1137,0.02681,0.03205
1138,0.02713,0.03248
1139,0.02734,0.03282
1140,0.02736,0.03295
1141,0.02727,0.03298
1142,0.02713,0.03297
1143,0.027,0.03297
1144,0.02697,0.03303
1145,0.02707,0.03314
1146,0.02734,0.0335
1147,0.02797,0.03427
1148,0.02872,0.03515
1149,0.02977,0.03631
1150,0.03099,0.03764
1151,0.03257,0.03926
1152,0.03433,0.041
1153,0.03642,0.043
1154,0.0386,0.04508
1155,0.04088,0.04723
1156,0.04319,0.0494
1157,0.0454,0.05146
1158,0.04763,0.0535
1159,0.04975,0.05541
1160,0.0519,0.05733
1161,0.05385,0.05897
1162,0.05579,0.06056
1163,0.05744,0.06195
1164,0.05893,0.0632
1165,0.06025,0.06429
1166,0.06137,0.06514
1167,0.06238,0.06589
1168,0.06323,0.06648
1169,0.064,0.06701
1170,0.06449,0.06725
1171,0.06491,0.06745
1172,0.06508,0.06743
1173,0.06527,0.06742
1174,0.06528,0.06718
1175,0.0653,0.06695
1176,0.06527,0.06672
1177,0.06514,0.06642
1178,0.06496,0.06611
1179,0.06472,0.06573
1180,0.06454,0.06541
1181,0.06435,0.06508
1182,0.06438,0.06494
1183,0.06441,0.06478
1184,0.06456,0.06479
1185,0.06471,0.06483
1186,0.06498,0.06498
1187,0.06521,0.06507
1188,0.06547,0.0652
1189,0.06573,0.06531
1190,0.06602,0.06547
1191,0.0663,0.06563
1192,0.06642,0.0656
1193,0.06643,0.06549
1194,0.06634,0.06534
1195,0.0662,0.06513
1196,0.06599,0.06485
1197,0.0658,0.06456
1198,0.06558,0.06425
1199,0.06541,0.06396
1200,0.0652,0.06364
1201,0.06512,0.0634
1202,0.06501,0.06312
1203,0.06508,0.06302
1204,0.0652,0.06297
1205,0.06537,0.063
1206,0.06558,0.06308
1207,0.06582,0.06324
1208,0.06614,0.06348
1209,0.06641,0.06367
1210,0.06675,0.06392
1211,0.06708,0.06411
1212,0.06745,0.06432
1213,0.06777,0.0645
1214,0.06814,0.06476
1215,0.06844,0.06492
1216,0.0688,0.0651
